Unnamed: 0,Thời gian,Tiêu đề,URL,content
11,(08/10/2025 00:00),"BID: 14.10.2025, ngày GDKHQ trả cổ tức năm 2024 bằng tiền mặt (450 đ/cp)",https://cafef.vn/du-lieu/BID-2312564/bid-14102025-ngay-gdkhq-tra-co-tuc-nam-2024-bang-tien-mat-450-dcp.chn?utm_source=du-lieu,
12,(07/10/2025 07:52),"'Đế chế' của ông Phạm Nhật Vượng chỉ có 37,3% nhân sự nữ nhưng các nữ tướng chiếm 59%, ngân hàng là 'thánh địa' của giới nữ ngoại trừ Sacombank",https://cafef.vn/de-che-cua-ong-pham-nhat-vuong-chi-co-373-nhan-su-nu-nhung-cac-nu-tuong-chiem-59-ngan-hang-la-thanh-dia-cua-gioi-nu-ngoai-tru-sacombank-188251007075236181.chn?utm_source=du-lieu,"Theo Báo cáo thường niên 2024 của 21 doanh nghiệp có giá trị vốn hoá lớn nhất thị trường chứng khoán Việt Nam tại thời điểm 6/10/2025 (bỏ qua ACV và Viettel Global do không công bố cơ cấu lao động), trên tổng quy mô hơn 576.000 nhân sự, cán cân giới tính vẫn nghiêng về phía nam giới khi có 11/21 doanh nghiệp có tỷ lệ nhân sự nam ‘áp đảo’ so với nhân sự nữ, đặc biệt trong các lĩnh vực công nghiệp nặng và công nghệ.
Điển hình như Tập đoàn Hòa Phát (HPG) chỉ có chưa đầy 12% nhân sự là nữ giới, PV GAS (GAS) có 21% hay Vinamilk cũng chỉ có 24,8% nhân sự là nữ... do đặc thù công việc có yêu cầu về sức khỏe thể chất, điều kiện làm việc khắc nghiệt, môi trường làm việc ngoài trời…
Trong khi đó, khối ngân hàng là nơi có đông nhân sự nữ nhất, với tỷ lệ trên dưới 60%. Ngân hàng duy nhất có tỷ lệ nữ dưới 50% là Sacombank (STB) với 48,28%.
Tuy nhiên, khi đi sâu vào cơ cấu lãnh đạo, một ""nghịch lý"" thú vị đã xuất hiện, đặc biệt tại những tập đoàn đa ngành lớn nhất.
Tại Vingroup (VIC), dù lao động nữ chỉ chiếm 37,3% tổng số nhân sự, nhưng lại có đến 59% các vị trí quản lý tại tập đoàn này do phụ nữ nắm giữ. Câu chuyện ""nữ quyền"" tại Vingroup không chỉ thể hiện qua các con số mà còn là một phần trong triết lý dùng người của nhà sáng lập. Các vị trí lãnh đạo cao cấp nhất quanh Chủ tịch Phạm Nhật Vượng, từ tài chính, kinh doanh đến pháp lý, phần lớn đều là các ""nữ tướng"".
Lý giải về điều này, ông Vượng từng chia sẻ trong một buổi nói chuyện trước đây rằng phụ nữ có những thế mạnh đặc biệt ở vai trò quản trị. Ông cho rằng: ""Ở các cương vị như các cấp phó hay các nhà quản trị thì rõ ràng nữ tốt hơn... Ví dụ tài chính kế toán, pháp lý kinh doanh, là thế mạnh của phụ nữ. Cho nên đương nhiên những vị trí đó bao giờ chúng tôi cũng bổ nhiệm phụ nữ.""
Triết lý này đã biến Vingroup thành một ví dụ điển hình cho việc trao quyền cho các lãnh đạo nữ, bất kể tỷ lệ của họ trong tổng thể lực lượng lao động.
Nhưng điều này không diễn ra tại Vinhomes - công ty con phụ trách mảng bất động sản của Vingroup. Vinhomes có 34,2% lao động là nữ, và cũng chỉ có tỷ lệ nữ quản lý là 28,7%.
Ngược lại với Vingroup, tại Masan Group (MSN), dù tỷ lệ nhân sự nữ tới 62,4% nhưng tỷ lệ nữ quản lý chỉ chiếm 43%. Trong khi đó, tại Masan Consumer chứng kiến ‘nữ quyền’ lớn hơn khi tỷ lệ nhân sự nữ chỉ 35,3% nhưng nữ quản lý chiếm gần 43% số cán bộ quản lý.
Về phía các ngân hàng, Sacombank không chỉ có tỷ lệ nữ nhân sự thấp hơn hẳn các ngân hàng khác (dưới 50%) mà tỷ lệ nữ quản lý tại ngân hàng này cũng thấp nhất: 24,1% - con số này còn thấp hơn tại các công ty như Vinamilk, Vinhomes.
Một số ngân hàng có tỷ lệ nữ nhân sự cao, nhưng nữ quản lý lại thấp dưới 50% là LPBank (32,8%), MB (45%) và HDBank (43%).  Điều này cho thấy mặc dù ngành tài chính - ngân hàng thu hút một lượng lớn nhân sự nữ, con đường tiến tới các vị trí lãnh đạo cao nhất của họ vẫn còn nhiều thách thức hơn so với các đồng nghiệp nam.
Nhìn rộng ra toàn thị trường, trong báo cáo ""Giới và thị trường lao động ở Việt Nam"" của Tổ chức Lao động Quốc tế (ILO) năm 2021 cho biết, Việt Nam có tỷ lệ phụ nữ tham gia lực lượng lao động rất cao so với thế giới (trên 70%).
Tuy nhiên, phụ nữ Việt Nam vẫn phải đối mặt với sự bất bình đẳng về cơ hội và gánh vác ""trách nhiệm kép"" khi phải dành thời gian cho công việc không lương tại nhà nhiều hơn nam giới gấp đôi. Điều này ảnh hưởng trực tiếp đến sự phát triển nghề nghiệp của họ. ILO nhấn mạnh rằng dù phụ nữ chiếm gần một nửa lực lượng lao động, họ chỉ đảm nhận khoảng 1/4 các vị trí lãnh đạo, quản lý chung trên toàn thị trường."
13,(02/10/2025 00:00),"BID: HĐQT thông qua việc cấp hạn mức đối với Keb Hana Bank Co.,LTD",https://cafef.vn/du-lieu/BID-2309117/bid-hdqt-thong-qua-viec-cap-han-muc-doi-voi-keb-hana-bank-coltd.chn?utm_source=du-lieu,
14,(02/10/2025 00:00),BID: Quyết định về việc chấm dứt hoạt động Chi nhánh Bình Hưng,https://cafef.vn/du-lieu/BID-2309264/bid-quyet-dinh-ve-viec-cham-dut-hoat-dong-chi-nhanh-binh-hung.chn?utm_source=du-lieu,
15,(01/10/2025 00:00),"BID: Nghị quyết HĐQT thông qua hợp đồng, giao dịch làm đại lý quản lý tài sản bảo đảm tại Lào giữa BIDV và NH Liên doanh Lào Việt",https://cafef.vn/du-lieu/BID-2308281/bid-nghi-quyet-hdqt-thong-qua-hop-dong-giao-dich-lam-dai-ly-quan-ly-tai-san-bao-dam-tai-lao-giua-bidv-va-nh-lien-doanh-lao-viet.chn?utm_source=du-lieu,
16,(01/10/2025 00:00),BID: Nghị quyết HĐQT về việc giao dịch với bên có liên quan,https://cafef.vn/du-lieu/BID-2308284/bid-nghi-quyet-hdqt-ve-viec-giao-dich-voi-ben-co-lien-quan.chn?utm_source=du-lieu,
17,(01/10/2025 00:00),BID: Công bố thông tin các nội dung liên quan đến chi trả cổ tức bằng tiền mặt,https://cafef.vn/du-lieu/BID-2308410/bid-cong-bo-thong-tin-cac-noi-dung-lien-quan-den-chi-tra-co-tuc-bang-tien-mat.chn?utm_source=du-lieu,
18,(01/10/2025 00:00),BID: Quyết định về việc chấm dứt hoạt động Chi nhánh Thành Nam,https://cafef.vn/du-lieu/BID-2308412/bid-quyet-dinh-ve-viec-cham-dut-hoat-dong-chi-nhanh-thanh-nam.chn?utm_source=du-lieu,
19,(26/09/2025 00:00),BID: Thông báo về việc chấm dứt hoạt động đối với 06 chi nhánh và chuyển 04 chi nhánh thành PGD,https://cafef.vn/du-lieu/BID-2305525/bid-thong-bao-ve-viec-cham-dut-hoat-dong-doi-voi-06-chi-nhanh-va-chuyen-04-chi-nhanh-thanh-pgd.chn?utm_source=du-lieu,
20,(23/09/2025 00:00),BID: Quyết định về việc thay đổi địa chỉ trụ sở Chi nhánh và các PGD trực thuộc - Chi nhánh Hà Giang,https://cafef.vn/du-lieu/BID-2302517/bid-quyet-dinh-ve-viec-thay-doi-dia-chi-tru-so-chi-nhanh-va-cac-pgd-truc-thuoc-chi-nhanh-ha-giang.chn?utm_source=du-lieu,
21,(11/09/2025 00:00),BID: Quyết định của NHNN về việc sửa đổi nội dung địa chỉ trụ sở chính tại Giấy phép thành lập và hoạt động,https://cafef.vn/du-lieu/BID-2293896/bid-quyet-dinh-cua-nhnn-ve-viec-sua-doi-noi-dung-dia-chi-tru-so-chinh-tai-giay-phep-thanh-lap-va-hoat-dong.chn?utm_source=du-lieu,
22,(11/09/2025 00:00),BID: HĐQT thông qua phụ lục hợp đồng đại lý bảo hiểm năm 2025 với BML,https://cafef.vn/du-lieu/BID-2294400/bid-hdqt-thong-qua-phu-luc-hop-dong-dai-ly-bao-hiem-nam-2025-voi-bml.chn?utm_source=du-lieu,
23,(11/09/2025 00:00),BID: HĐQT thông qua hợp đồng thuê thêm diện tích trụ sở CN Hoàn Kiếm,https://cafef.vn/du-lieu/BID-2294401/bid-hdqt-thong-qua-hop-dong-thue-them-dien-tich-tru-so-cn-hoan-kiem.chn?utm_source=du-lieu,
24,(11/09/2025 00:00),BID: Ủy quyền cho ông Trần Long - Phó tổng giám đốc công bố thông tin từ 1.9.2025,https://cafef.vn/du-lieu/BID-2294506/bid-uy-quyen-cho-ong-tran-long-pho-tong-giam-doc-cong-bo-thong-tin-tu-192025.chn?utm_source=du-lieu,
25,(25/08/2025 08:08),"Công bố 200 doanh nghiệp nộp ngân sách lớn nhất Việt Nam: Tổng nộp 794.000 tỷ đồng, Vingroup thu hẹp khoảng cách với vị trí số 1 của PetroVietnam",https://cafef.vn/cong-bo-200-doanh-nghiep-nop-ngan-sach-lon-nhat-viet-nam-tong-nop-794000-ty-dong-vingroup-thu-hep-khoang-cach-voi-vi-tri-so-1-cua-petrovietnam-188250824225436112.chn?utm_source=du-lieu,"Nối tiếp danh sách PRIVATE 100 được công bố cách đây một tuần, CafeF tiếp tục công bố danh sách VNTAX 200 – Top 200 doanh nghiệp nộp ngân sách lớn nhất Việt Nam năm 2025 (dựa trên số thực nộp của năm 2024).
Đây là năm thứ 2 danh sách được xây dựng, sau lần đầu tiên được công bố cách đây 1 năm. PRIVATE 100 cùng với VNTAX 200 nằm trong hệ thống vinh danh CafeF Lists, tôn vinh các doanh nghiệp có đóng góp ngân sách lớn nhất cho Việt Nam, ghi nhận vai trò quan trọng của các doanh nghiệp này trong công cuộc phát triển kinh tế và tinh thần phụng sự xã hội.
Trong đó, PRIVATE 100 là danh sách vinh danh riêng cho khối doanh nghiệp tư nhân với mức nộp ngân sách từ 100 tỷ đồng trở lên còn VNTAX 200 là danh sách quy tụ tất cả các doanh nghiệp có mức nộp ngân sách trong năm tài chính từ 200 tỷ đồng trở lên (bao gồm cả các doanh nghiệp nhà nước, tư nhân, FDI, liên doanh).
Với tổng cộng hàng trăm nghìn tỷ đồng đóng góp từ các doanh nghiệp hàng đầu, đây là bảng vinh danh nộp ngân sách duy nhất phản ánh toàn diện mức độ đóng góp của doanh nghiệp trên mọi lĩnh vực kinh tế.
Với quy mô lớn hơn, mức nộp ngân sách tối thiểu để vào danh sách chung của VNTAX 200 cũng như các danh sách ngành liên quan ở mức tối thiểu 200 tỷ đồng trở lên. Danh sách công bố năm 2024 được thống kê theo số liệu thực nộp trong niên độ tài chính (12 tháng) kết thúc vào các thời điểm trong khoảng thời gian từ 30/6/2024 đến 31/3/2025.
Nếu như trong danh sách doanh nghiệp tư nhân chỉ có gần 50 doanh nghiệp nộp ngân sách trên 1.000 tỷ đồng thì ở VNTAX 200, hiện đã có 125 doanh nghiệp. Trong đó, có 17 công ty nộp trên 10.000 tỷ đồng – theo danh sách hiện đã thu thập được.
Tổng nộp ngân sách của 200 doanh nghiệp trong danh sách VNTAX200 đạt 794.000 tỷ đồng, tăng 109.000 tỷ so với danh sách năm ngoái.
Trong đó, Top 100 doanh nghiệp dẫn đầu nộp 723.000 tỷ đồng – gấp 3 lần so với mức nộp 244.000 tỷ đồng của Top 100 doanh nghiệp tư nhân nộp ngân sách lớn nhất thuộc danh sách PRIVATE 100. Cũng chỉ có 36 đại diện của khối tư nhân góp mặt trong số 100 doanh nghiệp lớn nhất của VNTAX 200.
Điều này cho thấy các doanh nghiệp nhà nước và doanh nghiệp FDI vẫn là những đơn vị có đóng góp rất lớn vào nguồn thu ngân sách.
Trong Top 200, nếu một tập đoàn có nhiều công ty mẹ - công ty con cùng đạt tiêu chuẩn thì chỉ duy nhất công ty mẹ được tính thứ hạng. Vì lý do này, nhiều doanh nghiệp có mức nộp lên đến cả nghìn tỷ hay chục nghìn tỷ như Vinhomes (công ty con của Vingroup) hay PVEP, BSR, PV GAS… (công ty con của PVN) không có thứ hạng mà sẽ được đặt cạnh công ty mẹ.
Trong Top 10 bao gồm 4 tập đoàn nhà nước (PVN, Viettel, Petrolimex và Vinacomin), 4 doanh nghiệp FDI (Heineken, NSRP, Toyota và Vietsovpetro) cùng 2 doanh nghiệp tư nhân là Vingroup và THACO. Tất cả các đại diện trong Top 10 đều có mức nộp ngân sách trên 20.000 tỷ đồng.
Tổng cộng, chỉ riêng 10 doanh nghiệp dẫn đầu đã nộp 362.000 tỷ đồng, chiếm 45% tổng nộp của Top 200 doanh nghiệp.
Nếu như năm ngoái cả 3 vị trí dẫn đầu đều là các tập đoàn nhà nước thì năm nay Vingroup đã bứt phá ngoạn mục lên vị trí thứ 2, chỉ sau tập đoàn Công nghiệp – Năng lượng quốc gia Việt Nam (PetroVietnam).
Mức nộp của Vingroup đã tăng gần 25.300 tỷ so với năm 2023 lên 56.200 tỷ đồng. Trong đó, Vinhomes (bao gồm số nộp từ dự án Vinhomes Global Gate) - công ty thành viên của Vingroup trong lĩnh vực phát triển bất động sản - đã nộp 40.100 tỷ đồng trong năm ngoái.
Dù không duy trì mức nộp lớn như 2 năm trước nhưng PetroVietnam vẫn tiếp tục là đơn vị đóng góp lớn nhất vào ngân sách với 77.400 tỷ đồng. Mức nộp của PetroVietnam thậm chí còn lớn hơn tổng mức nộp của 100 doanh nghiệp có thứ hạng từ 101 đến 200.
Đây là số nộp của PetroVietnam và các công ty con. Còn nếu tính toàn bộ cả các công ty có liên quan thì tổng mức nộp của cả hệ thống PetroVietnam lên đến 165.000 tỷ đồng.
Các vị trí từ thứ 11-20 có một số cái tên đáng chú ý như EVN, Vinataba, TC Group, Hòa Phát, Sabeco, Vietcombank, Agribank…
Ngành dầu khí – xăng dầu: có tới 4 đại diện trong Top 10, bao gồm PetroVietnam cùng 2 đơn vị liên doanh Lọc hóa dầu Nghi Sơn (NSRP), Vietsovpetro và Tập đoàn Xăng dầu Việt Nam (Petrolimex).
Các doanh nghiệp hàng đầu lĩnh vực ô tô, bia rượu vẫn luôn là những đơn vị nộp ngân sách lớn từ nhiều năm nay.
Ngành ngân hàng: nhóm Big4 ngân hàng quốc doanh vẫn là những đơn vị nộp ngân sách lớn nhất tuy vậy khoảng cách với những ngân hàng tư nhân top đầu là không nhiều.Năm ngoái, Agribank nộp ngân sách xấp xỉ 9.000 tỷ đồng, tăng gần 80% so với năm 2023, qua đó là đơn vị có tốc độ tăng trưởng nộp ngân sách lớn nhất trong khối quốc doanh.
Ở nhóm ngân hàng tư nhân, một số đơn vị như LPBank, SHB, TPBank cũng đang vươn lên trở thành những đơn vị có mức nộp ngân sách lớn trong ngành. Đặc biệt, LPBank đã ghi dấu ấn với mức nộp ngân sách cao và ổn định, đóng góp tích cực vào ngân sách nhà nước nhờ chiến lược kinh doanh bền vững và hiệu quả.
Năm 2024, lợi nhuận của LPBank và SHB đều bứt phá, đạt lần lượt là gần 12.200 tỷ và 11.500 tỷ đồng – lần đầu vượt qua cột mốc 10.000 tỷ đồng. Nửa đầu 2025, lợi nhuận của SHB tiếp tục tăng 30% lên 8.900 tỷ đồng.
Trong lĩnh vực tài chính, bên cạnh ngân hàng thì bảo hiểm và chứng khoán cũng là những lĩnh vực có tốc độ tăng trưởng nộp ngân sách lớn.
Trong số các doanh nghiệp bảo hiểm nhân thọ top đầu ở trên thị trường, AIA Việt Nam, một thành viên của Tập đoàn AIA, là một trong những doanh nghiệp có tiềm lực tài chính mạnh nhất và hoạt động kinh doanh ổn định, đều đặn nộp ngân sách lớn. Trong 2 năm gần nhất, AIA đều nộp ngân sách nhà nước hơn 600 tỷ đồng mỗi năm.
Lĩnh vực công nghệ - viễn thông, bên cạnh những tập đoàn nhà nước như Viettel, VNPT thì các doanh nghiệp tư nhân như FPT, VNG Group hay MoMo cũng đang vươn mình mạnh mẽ để mở rộng hoạt động kinh doanh, qua đó cũng ngày càng đóng góp nhiều hơn vào ngân sách.
Bên cạnh VNG Group tiên phong với chiến lược AI mang tầm quốc tế, MoMo được đánh giá là một đại diện nổi bật với vai trò là nền tảng fintech dẫn đầu thị trường, thúc đẩy thói quen thanh toán không tiền mặt, ứng dụng AI vào tài chính và đồng hành cùng sứ mệnh bình dân hóa dịch vụ tài chính, hỗ trợ ổn định hệ thống tài chính, góp phần vào tiến trình chuyển đổi số quốc gia.
Bất động sản – xây dựng là ngành lớn hiếm hoi mà các doanh nghiệp tư nhân có mức nộp ngân sách áp đảo so với khối doanh nghiệp nhà nước hay FDI. Trong số gần 20 đơn vị có mức nộp trên 1.000 tỷ đồng chỉ có 2 đại diện của doanh nghiệp nhà nước và 1 doanh nghiệp FDI.
Với vị thế là một trong những đơn vị đứng đầu ngành xây dựng, Công ty Cổ phần Xây dựng Coteccons cũng đã nộp ngân sách gần 300 tỷ đồng trong năm tài chính kết thúc ngày 30/6/2024.
Theo kết quả kinh doanh quý IV năm tài chính 2025 vừa được công bố mới đây, Coteccons đã ghi nhận kết quả kinh doanh ấn tượng với doanh thu thuần quý IV đạt gần 8.351 tỷ đồng và lợi nhuận sau thuế quý IV năm tài chính 2025 đạt 196 tỷ đồng, gấp 2,8 lần cùng kỳ năm trước. Lũy kế cả năm ước đạt 454 tỷ đồng, tăng 46,6% so với năm trước. Cùng với sự tăng trưởng của hoạt động kinh doanh, mức nộp ngân sách của Coteccons cũng đã tăng hơn 30% lên gần 400 tỷ đồng.
CafeF Lists 2025 đánh dấu sự trở lại với 2 bảng vinh danh uy tín:
PRIVATE 100 – Top doanh nghiệp tư nhân nộp ngân sách từ 100 tỷ đồng trở lên
VNTAX 200 – Top doanh nghiệp có mức nộp ngân sách trong năm tài chính từ 200 tỷ đồng trở lên
Đây là danh sách được CafeF thu thập từ những nguồn công khai hoặc các số liệu có thể xác thực, phản ánh toàn bộ số thực nộp ngân sách của doanh nghiệp, bao gồm các khoản thuế, phí, các khoản phải nộp. Việc tổng hợp dữ liệu công khai, chính xác, minh bạch không chỉ ghi nhận đóng góp tài chính của các doanh nghiệp mà còn lan tỏa tinh thần trách nhiệm xã hội, khẳng định vị thế của doanh nghiệp trong nền kinh tế.
Một số doanh nghiệp tiêu biểu trong danh sách năm 2025, thể hiện số thực nộp của năm tài chính 2024, có thể kể đến như Agribank; ACB; AIA; BIM Group; Coteccons; HDBank; LPBank; LOF; Masan Group; MoMo; OCB; PNJ; SHB; Tasco; Tập đoàn DOJI; Tập đoàn Nam Long; Tập đoàn Hoa Sen; TCBS; Techcombank; TPBank; Vingroup; VPBank; Vinamilk; VNG Group; VPS; VIMID"
26,(22/08/2025 00:00),BID: Quyết định của HĐQT số 897 ngày 22/08/2025,https://cafef.vn/du-lieu/BID-2281585/bid-quyet-dinh-cua-hdqt-so-897-ngay-22082025.chn?utm_source=du-lieu,
27,(21/08/2025 00:00),BID: HĐQT thông qua hợp đồng/giao dịch liên quan đến CTCP Đầu tư và Phát triển Ngân Lực,https://cafef.vn/du-lieu/BID-2281403/bid-hdqt-thong-qua-hop-donggiao-dich-lien-quan-den-ctcp-dau-tu-va-phat-trien-ngan-luc.chn?utm_source=du-lieu,
